,Unnamed: 0,TP,FP,Confi,iou,acc_tp,acc_fp,precision,recall
388,388,1.0,0.0,0.918626070022583,0.7661658105707839,3.0,20.0,0.13043478260869565,0.003092783505154639
200,200,1.0,0.0,0.9163339734077454,0.7858662254786103,4.0,20.0,0.16666666666666666,0.004123711340206186
376,376,0.0,1.0,0.9122943878173828,0.6317026974070931,4.0,21.0,0.16,0.004123711340206186
158,158,0.0,1.0,0.9100253582000732,0.6093670886075949,4.0,22.0,0.15384615384615385,0.004123711340206186
414,414,0.0,1.0,0.908355951309204,0.5593782486015544,4.0,23.0,0.14814814814814814,0.004123711340206186
426,426,0.0,1.0,0.9068471789360046,0.5880503144654088,4.0,24.0,0.14285714285714285,0.004123711340206186
41,41,1.0,0.0,0.9060696363449096,0.8426666666666667,5.0,24.0,0.1724137931034483,0.005154639175257732
125,125,0.0,1.0,0.9056950211524964,0.6904381925128813,5.0,25.0,0.16666666666666666,0.005154639175257732
114,114,1.0,0.0,0.9056344032287598,0.8209760934229371,6.0,25.0,0.1935483870967742,0.006185567010309278
401,401,0.0,1.0,0.9051197171211244,0.6555928232976628,6.0,26.0,0.1875,0.006185567010309278
99,99,0.0,1.0,0.9037795662879944,0.5724247535028542,6.0,27.0,0.18181818181818182,0.006185567010309278
258,258,0.0,1.0,0.9019561409950256,0.5651564088376462,6.0,28.0,0.17647058823529413,0.006185567010309278
60,60,0.0,1.0,0.9010269045829772,0.5484024797329519,6.0,29.0,0.17142857142857143,0.006185567010309278
10,10,0.0,1.0,0.8995319604873657,0.651497005988024,6.0,30.0,0.16666666666666666,0.006185567010309278
400,400,0.0,1.0,0.8987358808517456,0.6641198650525898,6.0,31.0,0.16216216216216217,0.006185567010309278
188,188,1.0,0.0,0.8967077136039734,0.7602152974053801,7.0,31.0,0.18421052631578946,0.007216494845360825
241,241,0.0,1.0,0.8963994979858398,0.6472885879825532,7.0,32.0,0.1794871794871795,0.007216494845360825
87,87,0.0,1.0,0.8959700465202332,0.5101511605844032,7.0,33.0,0.175,0.007216494845360825
399,399,0.0,1.0,0.8958771824836731,0.7263629017218872,7.0,34.0,0.17073170731707318,0.007216494845360825
375,375,0.0,1.0,0.894788920879364,0.3586927708562124,7.0,35.0,0.16666666666666666,0.007216494845360825
413,413,1.0,0.0,0.8919439911842346,0.8527785624924331,8.0,35.0,0.18604651162790697,0.008247422680412371
367,367,0.0,1.0,0.8891761302947998,0.5699123211813567,8.0,36.0,0.18181818181818182,0.008247422680412371
178,178,0.0,1.0,0.8888798952102661,0.5988389386848576,8.0,37.0,0.17777777777777778,0.008247422680412371
86,86,0.0,1.0,0.8848918676376343,0.564005254707342,8.0,38.0,0.17391304347826086,0.008247422680412371
359,359,0.0,1.0,0.8841560482978821,0.6375169913910286,8.0,39.0,0.1702127659574468,0.008247422680412371
351,351,0.0,1.0,0.8779061436653137,0.5555760368663595,8.0,40.0,0.16666666666666666,0.008247422680412371
59,59,0.0,1.0,0.8773491382598877,0.6396615547329455,8.0,41.0,0.16326530612244897,0.008247422680412371
387,387,0.0,1.0,0.8752680420875549,0.7165240582286919,8.0,42.0,0.16,0.008247422680412371
366,366,0.0,1.0,0.8728411793708801,0.6963129263448752,8.0,43.0,0.1568627450980392,0.008247422680412371
9,9,0.0,1.0,0.8718892931938171,0.7047861075815333,8.0,44.0,0.15384615384615385,0.008247422680412371
343,343,0.0,1.0,0.8718751668930054,0.524025069637883,8.0,45.0,0.1509433962264151,0.008247422680412371
265,265,0.0,1.0,0.8685407042503357,0.6713718318713032,8.0,46.0,0.14814814814814814,0.008247422680412371
98,98,0.0,1.0,0.8675777316093445,0.7379361544172235,8.0,47.0,0.14545454545454545,0.008247422680412371
26,26,0.0,1.0,0.8666054010391235,0.5494422328847988,8.0,48.0,0.14285714285714285,0.008247422680412371
172,172,1.0,0.0,0.8605393171310425,0.8303303303303303,9.0,48.0,0.15789473684210525,0.009278350515463918
48,48,0.0,1.0,0.8581424951553345,0.6933273505711668,9.0,49.0,0.15517241379310345,0.009278350515463918
232,232,0.0,1.0,0.8574274778366089,0.6695278969957081,9.0,50.0,0.15254237288135594,0.009278350515463918
275,275,0.0,1.0,0.8572253584861755,0.5213700234192038,9.0,51.0,0.15,0.009278350515463918
47,47,1.0,0.0,0.8554290533065796,0.7516988591903134,10.0,51.0,0.16393442622950818,0.010309278350515464
71,71,0.0,1.0,0.8458839058876038,0.7149259812576395,10.0,52.0,0.16129032258064516,0.010309278350515464
320,320,0.0,1.0,0.8456122875213623,0.6807667496083311,10.0,53.0,0.15873015873015872,0.010309278350515464
269,269,0.0,1.0,0.8453206419944763,0.6845940824952631,10.0,54.0,0.15625,0.010309278350515464
231,231,0.0,1.0,0.8401668667793274,0.4075767472240366,10.0,55.0,0.15384615384615385,0.010309278350515464
306,306,0.0,1.0,0.839779257774353,0.5928016937191251,10.0,56.0,0.15151515151515152,0.010309278350515464
305,305,0.0,1.0,0.8378056883811951,0.5573770491803278,10.0,57.0,0.14925373134328357,0.010309278350515464
350,350,0.0,1.0,0.8352412581443787,0.5235744167640297,10.0,58.0,0.14705882352941177,0.010309278350515464
85,85,0.0,1.0,0.8339177966117859,0.5660561184723305,10.0,59.0,0.14492753623188406,0.010309278350515464
58,58,0.0,1.0,0.825312614440918,0.5435890557939914,10.0,60.0,0.14285714285714285,0.010309278350515464
187,187,0.0,1.0,0.8210716843605042,0.6882956878850103,10.0,61.0,0.14084507042253522,0.010309278350515464
374,374,0.0,1.0,0.820812463760376,0.6414414414414414,10.0,62.0,0.1388888888888889,0.010309278350515464
398,398,0.0,1.0,0.8187059760093689,0.6354782608695653,10.0,63.0,0.136986301369863,0.010309278350515464
412,412,0.0,1.0,0.8165585994720459,0.4026910526527817,10.0,64.0,0.13513513513513514,0.010309278350515464
279,279,0.0,1.0,0.8141945004463196,0.6953324808184144,10.0,65.0,0.13333333333333333,0.010309278350515464
411,411,1.0,0.0,0.8123708963394165,0.8122766449442926,11.0,65.0,0.14473684210526316,0.01134020618556701
177,177,1.0,0.0,0.8123437166213989,0.8682989155114953,12.0,65.0,0.15584415584415584,0.012371134020618556
57,57,1.0,0.0,0.8120419979095459,0.7587638376383764,13.0,65.0,0.16666666666666666,0.013402061855670102
349,349,0.0,1.0,0.8118187189102173,0.5580238726790451,13.0,66.0,0.16455696202531644,0.013402061855670102
113,113,0.0,1.0,0.80945885181427,0.6606618522339497,13.0,67.0,0.1625,0.013402061855670102
164,164,0.0,1.0,0.8094541430473328,0.6702436137686162,13.0,68.0,0.16049382716049382,0.013402061855670102
338,338,0.0,1.0,0.8057835698127747,0.5270116252564395,13.0,69.0,0.15853658536585366,0.013402061855670102
199,199,0.0,1.0,0.8005581498146057,0.0,13.0,70.0,0.1566265060240964,0.013402061855670102
329,329,0.0,1.0,0.8001933693885803,0.4876360039564787,13.0,71.0,0.15476190476190477,0.013402061855670102
8,8,0.0,1.0,0.7948080897331238,0.7377338510412991,13.0,72.0,0.15294117647058825,0.013402061855670102
7,7,1.0,0.0,0.7933457493782043,0.7857190973391714,14.0,72.0,0.16279069767441862,0.01443298969072165
348,348,1.0,0.0,0.7923520803451538,0.7604085277374707,15.0,72.0,0.1724137931034483,0.015463917525773196
209,209,0.0,1.0,0.7914636731147766,0.056708357021034675,15.0,73.0,0.17045454545454544,0.015463917525773196
46,46,0.0,1.0,0.790325403213501,0.7391234289397357,15.0,74.0,0.16853932584269662,0.015463917525773196
208,208,1.0,0.0,0.7870662808418274,0.8710155670867309,16.0,74.0,0.17777777777777778,0.016494845360824743
432,432,0.0,1.0,0.7793984413146973,0.4841341795104261,16.0,75.0,0.17582417582417584,0.016494845360824743
84,84,1.0,0.0,0.7790196537971497,0.8145136227079665,17.0,75.0,0.18478260869565216,0.01752577319587629
15,15,0.0,1.0,0.7705134153366089,0.5017085427135678,17.0,76.0,0.1827956989247312,0.01752577319587629
154,154,0.0,1.0,0.7690200209617615,0.5147562018819504,17.0,77.0,0.18085106382978725,0.01752577319587629
153,153,0.0,1.0,0.7673193216323853,0.5504958942092354,17.0,78.0,0.17894736842105263,0.01752577319587629
14,14,0.0,1.0,0.7645644545555115,0.7302550643812024,17.0,79.0,0.17708333333333334,0.01752577319587629
230,230,0.0,1.0,0.7619823217391968,0.6754951365287707,17.0,80.0,0.17525773195876287,0.01752577319587629
97,97,0.0,1.0,0.7614180445671082,0.6192303907095759,17.0,81.0,0.17346938775510204,0.01752577319587629
171,171,0.0,1.0,0.7610356211662292,0.6359067532125012,17.0,82.0,0.1717171717171717,0.01752577319587629
195,195,0.0,1.0,0.7597030997276306,0.3001655324627552,17.0,83.0,0.17,0.01752577319587629
319,319,0.0,1.0,0.7557900547981262,0.5678215579710145,17.0,84.0,0.16831683168316833,0.01752577319587629
328,328,1.0,0.0,0.7532373666763306,0.8914133962820892,18.0,84.0,0.17647058823529413,0.018556701030927835
38,38,0.0,1.0,0.7485411763191223,0.6947489459563051,18.0,85.0,0.17475728155339806,0.018556701030927835
96,96,0.0,1.0,0.7476527690887451,0.6000068182592984,18.0,86.0,0.17307692307692307,0.018556701030927835
386,386,0.0,1.0,0.74343341588974,0.6876590330788804,18.0,87.0,0.17142857142857143,0.018556701030927835
40,40,0.0,1.0,0.7433258891105652,0.7038268672472948,18.0,88.0,0.16981132075471697,0.018556701030927835
194,194,0.0,1.0,0.7419405579566956,0.7462533971306097,18.0,89.0,0.16822429906542055,0.018556701030927835
13,13,0.0,1.0,0.7403225898742676,0.5284860848025644,18.0,90.0,0.16666666666666666,0.018556701030927835
37,37,0.0,1.0,0.7398491501808167,0.5263124604680582,18.0,91.0,0.1651376146788991,0.018556701030927835
347,347,1.0,0.0,0.7397930026054382,0.7578320802005013,19.0,91.0,0.17272727272727273,0.01958762886597938
358,358,0.0,1.0,0.7376412749290466,0.4102438426663399,19.0,92.0,0.17117117117117117,0.01958762886597938
222,222,0.0,1.0,0.7363386750221252,0.541373621602848,19.0,93.0,0.16964285714285715,0.01958762886597938
357,357,0.0,1.0,0.7323452830314636,0.25113609184405644,19.0,94.0,0.168141592920354,0.01958762886597938
139,139,0.0,1.0,0.7323169112205505,0.5470148503234891,19.0,95.0,0.16666666666666666,0.01958762886597938
342,342,0.0,1.0,0.7313528656959534,0.5947349570200573,19.0,96.0,0.16521739130434782,0.01958762886597938
304,304,0.0,1.0,0.7257459759712219,0.6867688730654654,19.0,97.0,0.16379310344827586,0.01958762886597938
30,30,0.0,1.0,0.7249162197113037,0.6319702602230484,19.0,98.0,0.1623931623931624,0.01958762886597938
138,138,0.0,1.0,0.7242826223373413,0.21804132370233492,19.0,99.0,0.16101694915254236,0.01958762886597938
282,282,0.0,1.0,0.722493052482605,0.5649959796301259,19.0,100.0,0.15966386554621848,0.01958762886597938
6,6,0.0,1.0,0.7205666899681091,0.5531107738998483,19.0,101.0,0.15833333333333333,0.01958762886597938
5,5,0.0,1.0,0.7089791893959045,0.7035436473638721,19.0,102.0,0.15702479338842976,0.01958762886597938
193,193,0.0,1.0,0.7077375650405884,0.7226751810251439,19.0,103.0,0.1557377049180328,0.01958762886597938
112,112,0.0,1.0,0.7067736387252808,0.3859553078186433,19.0,104.0,0.15447154471544716,0.01958762886597938
318,318,0.0,1.0,0.6988906264305115,0.6560860440713536,19.0,105.0,0.1532258064516129,0.01958762886597938
152,152,0.0,1.0,0.6985804438591003,0.6659484447230275,19.0,106.0,0.152,0.01958762886597938
192,192,1.0,0.0,0.6887656450271606,0.7857121926920034,20.0,106.0,0.15873015873015872,0.020618556701030927
257,257,0.0,1.0,0.6870105862617493,0.462890625,20.0,107.0,0.15748031496062992,0.020618556701030927
176,176,0.0,1.0,0.6848291158676147,0.5767314255811179,20.0,108.0,0.15625,0.020618556701030927
111,111,0.0,1.0,0.6802327036857605,0.6872332378842725,20.0,109.0,0.15503875968992248,0.020618556701030927
397,397,0.0,1.0,0.6736943125724792,0.23793103448275865,20.0,110.0,0.15384615384615385,0.020618556701030927
425,425,0.0,1.0,0.6717533469200134,0.5822686798296555,20.0,111.0,0.15267175572519084,0.020618556701030927
207,207,0.0,1.0,0.6707670092582703,0.7096065187091241,20.0,112.0,0.15151515151515152,0.020618556701030927
